epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.2381916493177414,0.0010000000474974513,2.0946435928344727,0.2679966390132904,1.8697474002838135
1,0.359375,0.0010000000474974513,1.7009367942810059,0.2632533609867096,1.861352562904358
2,0.33576539158821106,0.0010000000474974513,1.6967965364456177,0.4356863796710968,1.4691847562789917
3,0.5,0.0010000000474974513,1.4766359329223633,0.4418247640132904,1.4529167413711548
4,0.4210158884525299,0.0010000000474974513,1.4951744079589844,0.5032086968421936,1.3006160259246826
5,0.515625,0.0010000000474974513,1.4523837566375732,0.5069754719734192,1.2936782836914062
6,0.46901726722717285,0.0010000000474974513,1.389825701713562,0.4977678656578064,1.3036831617355347
7,0.5,0.0010000000474974513,1.3741213083267212,0.4921875,1.321758508682251
8,0.4909757375717163,0.0010000000474974513,1.3314210176467896,0.5365513563156128,1.233635663986206
9,0.390625,0.0010000000474974513,1.555792212486267,0.5362723469734192,1.235087513923645
10,0.5122359991073608,0.0010000000474974513,1.2772443294525146,0.5467354655265808,1.214729905128479
11,0.484375,0.0010000000474974513,1.2669156789779663,0.5484095811843872,1.2005226612091064
12,0.5289230346679688,0.0010000000474974513,1.2382009029388428,0.56640625,1.1354376077651978
13,0.5,0.0010000000474974513,1.3088724613189697,0.5650111436843872,1.1396877765655518
14,0.5392563939094543,0.0010000000474974513,1.2120845317840576,0.5710100531578064,1.156307578086853
15,0.59375,0.0010000000474974513,1.0896153450012207,0.5739397406578064,1.1406842470169067
16,0.5618083477020264,0.00020000000949949026,1.1524715423583984,0.5977957844734192,1.044842004776001
17,0.578125,0.00020000000949949026,1.0781562328338623,0.5972377061843872,1.0446218252182007
18,0.5776575207710266,0.00020000000949949026,1.1259760856628418,0.6028180718421936,1.048828363418579
19,0.71875,0.00020000000949949026,1.0266227722167969,0.6043526530265808,1.048527479171753
20,0.5778669714927673,0.00020000000949949026,1.1123899221420288,0.603515625,1.0522336959838867
21,0.40625,4.0000002627493814e-05,1.3921916484832764,0.6043526530265808,1.051908016204834
22,0.586035966873169,4.0000002627493814e-05,1.0976992845535278,0.6107701063156128,1.0208196640014648
23,0.6875,4.0000002627493814e-05,1.061783790588379,0.6106305718421936,1.0206923484802246
24,0.5894920825958252,4.0000002627493814e-05,1.0871073007583618,0.6163504719734192,1.0152453184127808
25,0.625,4.0000002627493814e-05,0.9466809630393982,0.6160714030265808,1.015356183052063
26,0.5916215777397156,4.0000002627493814e-05,1.0916837453842163,0.6134207844734192,1.0186420679092407
27,0.609375,4.0000002627493814e-05,1.1107194423675537,0.6141182780265808,1.0187575817108154
28,0.5892127752304077,8.000000889296643e-06,1.089125156402588,0.6155133843421936,1.0158993005752563
29,0.75,8.000000889296643e-06,0.9796370267868042,0.6153739094734192,1.0158581733703613
30,0.5943794846534729,8.000000889296643e-06,1.0811171531677246,0.6155133843421936,1.0135209560394287
31,0.609375,8.000000889296643e-06,1.1846661567687988,0.615234375,1.013487458229065
32,0.5966137051582336,8.000000889296643e-06,1.0784684419631958,0.6157923936843872,1.013521432876587
33,0.546875,8.000000889296643e-06,1.0328152179718018,0.6157923936843872,1.013532042503357
34,0.5934019684791565,1.6000001323845936e-06,1.082322120666504,0.6156529188156128,1.0133596658706665
35,0.640625,1.6000001323845936e-06,0.9352121949195862,0.6157923936843872,1.0133309364318848
36,0.5945540070533752,1.6000001323845936e-06,1.0814944505691528,0.6159319281578064,1.0138126611709595
37,0.640625,1.6000001323845936e-06,1.1377133131027222,0.6153739094734192,1.0138623714447021
38,0.5928783416748047,3.200000264769187e-07,1.0828510522842407,0.6153739094734192,1.0133122205734253
39,0.59375,3.200000264769187e-07,1.1074082851409912,0.6157923936843872,1.0132778882980347
40,0.5903648138046265,3.200000264769187e-07,1.0865964889526367,0.6155133843421936,1.0125714540481567
41,0.59375,3.200000264769187e-07,1.0989699363708496,0.6162109375,1.0125761032104492
42,0.5939954519271851,3.200000264769187e-07,1.0814785957336426,0.6150948405265808,1.013623833656311
43,0.609375,3.200000264769187e-07,1.079345703125,0.615234375,1.013615369796753
44,0.5917612314224243,6.400000529538374e-08,1.0816348791122437,0.6159319281578064,1.0137884616851807
45,0.609375,6.400000529538374e-08,1.2051869630813599,0.6156529188156128,1.0138262510299683
46,0.5912026762962341,6.400000529538374e-08,1.082169771194458,0.6159319281578064,1.0133874416351318
47,0.546875,1.2800001059076749e-08,1.102938175201416,0.6155133843421936,1.0136771202087402
